"Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","summed_cost","Postive.DA.Tests","Working.Over.8","Season"
2013,"14",85,"Day","Un-Clear","Main","5",179.7,"West",7,"Estimated",7,19019,"Signaled","Signal Indication","No",0,2,0,0,0,1,133,0,0,0,0,1,0,0,1,41.13634,-100.740489,"5","CL","Class 1","SMT-6 - UP/KCS",236213,"No","No","Summer"
2021,"15",48,"Day","Un-Clear","Main","4",73.7,"West",35,"Recorded",35,10800,"Signaled","Signal Indication","No",18,2,0,1,0,0,186,0,0,0,0,1,0,0,1,40.75028,-98.84267,"4","CL","Class 1","SMT-6 - UP/KCS",1271642,"No","No","Winter"
2022,"1",45,"Dark","Un-Clear","Main","3",29.9,"South",33,"Recorded",33,13992,"Signaled","Signal Indication","No",0,2,0,0,0,0,108,0,0,0,0,1,0,0,1,42.195543,-83.394502,"3","CL","Class 1","SMT-9 - CSX",1169613,"No","No","Winter"
2022,"7",50,"Day","Un-Clear","Main","4",12.69,"West",28,"Recorded",28,13941,"Signaled","Signal Indication","Yes",32,2,0,0,0,0,109,0,10,0,0,1,0,0,1,42.460964,-82.996516,"4","No","Class 1","SMT-4 - CP/CN/CCD",1713505,"No","No","Summer"
2020,"4",41,"Dark","Un-Clear","Main","1",8.9,"West",4,"Recorded",4,7356,"Signaled","Signal Indication","No",0,1,0,0,0,0,28,0,23,0,0,1,0,0,1,42.322359,-83.163724,"1","CL","Class 1","SMT-9 - CSX",51709,"No","Yes","Fall"
2020,"4",41,"Dark","Un-Clear","Main","1",8.9,"West",0,"Estimated",4,8400,"Signaled","Signal Indication","No",0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,42.322359,-83.163724,"1","CL","Class 1","SMT-9 - CSX",0,"No","Yes","Fall"
2014,"15",101,"Day","Clear","Main","1",2.9,"North",9,"Recorded",9,18018,"Not Signaled","Direct Train Control","No",0,2,0,0,0,1,126,0,0,0,0,1,0,1,1,40.377695,-96.917133,"1","CL","Class 1","SMT-6 - UP/KCS",113161,"No","No","Summer"
2020,"9",79,"Day","Un-Clear","Yard","1",0.78,"South",7,"Recorded",7,3900,"Not Signaled","Other Than Main Track","No",2,2,0,0,0,0,26,0,12,0,0,1,0,0,1,34.201914,-77.952005,"1","Cl","Class 3","SMT-2 - Short Line East",28542,"No","No","Spring"
2013,"4",50,"Dark","Clear","Yard","1",9,"West",4,"Estimated",4,1800,"Not Signaled","Other Than Main Track","No",0,2,0,0,0,0,15,0,1,0,0,1,0,1,1,32.247902,-90.130135,"1","CL","Class 1","SMT-6 - UP/KCS",8479,"No","No","Fall"
2018,"2",36,"Dark","Clear","Main","2",6.28,"South",25,"Estimated",25,8701,"Not Signaled","Direct Train Control","No",0,2,0,0,0,0,72,0,1,0,0,1,0,0,1,46.158711,-85.322319,"2","No","Class 1","SMT-4 - CP/CN/CCD",32774,"No","No","Fall"
2013,"2",48,"Dark","Clear","Main","3",1854.5,"North",25,"Estimated",25,0,"Signaled","Direct Train Control","Yes",0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,39.903611,-75.371944,"3","No","Class 3","SMT-1 - Amtrak, Commuter East",22228,"No","Yes","Spring"
2021,"1",77,"Dark","Clear","Main","4",24.4,"West",36,"Recorded",36,13797,"Signaled","Signal Indication","No",0,1,0,1,0,1,0,0,107,0,0,1,0,0,1,38.734095,-94.03095,"4","CL","Class 1","SMT-6 - UP/KCS",1944717,"No","No","Summer"
2020,"1",35,"Dark","Un-Clear","Main","1",1.14,"West",10,"Recorded",10,3968,"Not Signaled","Direct Train Control","No",0,3,0,0,0,0,28,0,21,0,0,1,0,0,1,44.314661,-70.302604,"1","Cl","Class 2","SMT-2 - Short Line East",25600,"No","No","Fall"
2021,"23",32,"Dark","Clear","Main","2",6.1,"West",25,"Recorded",25,4214,"Not Signaled","Direct Train Control","No",1,3,0,0,0,0,26,0,41,0,0,1,0,0,1,43.85387,-70.24439,"2","Cl","Class 2","SMT-2 - Short Line East",15001,"No","No","Winter"
2013,"15",95,"Day","Clear","Yard","X",156,"South",8,"Estimated",8,2590,"Not Signaled","Other Than Main Track","No",1,2,0,0,0,0,36,0,2,0,0,1,0,0,1,46.39,-68.23,"X","Cl","Class 3","SMT-2 - Short Line East",41000,"No","Yes","Summer"
