"Month","Year","DayHour","Temperature","Visibility","Weather.Condition","Track.Type","Track.Class","Track.Density","Train.Direction","Train.Speed","Recorded.Estimated.Speed","Maximum.Speed","Gross.Tonnage","Signalization","Method.of.Operation","Positive.Alcohol.Tests","Positive.Drug.Tests","Passengers.Transported","Hazmat.Cars","Head.End.Locomotives","Mid.Train.Manual.Locomotives","Mid.Train.Remote.Locomotives","Rear.End.Manual.Locomotives","Rear.End.Remote.Locomotives","Loaded.Freight.Cars","Loaded.Passenger.Cars","Empty.Freight.Cars","Empty.Passenger.Cars","Cabooses","Engineers.On.Duty","Firemen.On.Duty","Brakemen.On.Duty","Conductors.On.Duty","Hours.Engineers.On.Duty","Hours.Conductors.On.Duty","Minutes.Engineers.On.Duty","Minutes.Conductors.On.Duty","Latitude","Longitude","Joint.Track.Class","Class.Code","Reporting.Railroad.Class","Reporting.Railroad.SMT.Grouping","Equipment.Damage.Cost","Track.Damage.Cost","Total.Damage.Cost","summed_cost","Postive.DA.Tests"
"08",2013,"14",85,"Day","Cloudy","Main","5",179.7,"West",7,"Estimated",7,19019,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,1,133,0,0,0,0,1,0,0,1,2,2,45,45,41.13634,-100.740489,"5","CL","Class 1","SMT-6 - UP/KCS",38480,197733,236213,236213,"No"
"03",2021,"15",48,"Day","Cloudy","Main","4",73.7,"West",35,"Recorded",35,10800,"Signaled","Signal Indication",0,0,"No",18,2,0,1,0,0,186,0,0,0,0,1,0,0,1,6,6,5,5,40.75028,-98.84267,"4","CL","Class 1","SMT-6 - UP/KCS",601032,670610,1271642,1271642,"No"
"01",2022,"1",45,"Dark","Cloudy","Main","3",29.9,"South",33,"Recorded",33,13992,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,108,0,0,0,0,1,0,0,1,4,4,4,4,42.195543,-83.394502,"3","CL","Class 1","SMT-9 - CSX",739426,430187,1169613,1169613,"No"
"09",2022,"7",50,"Day","Cloudy","Main","4",12.69,"West",28,"Recorded",28,13941,"Signaled","Signal Indication",0,0,"Yes",32,2,0,0,0,0,109,0,10,0,0,1,0,0,1,2,2,37,37,42.460964,-82.996516,"4","No","Class 1","SMT-4 - CP/CN/CCD",1424393,289112,1713505,1713505,"No"
"10",2020,"4",41,"Dawn","Cloudy","Main","1",8.9,"West",4,"Recorded",4,7356,"Signaled","Signal Indication",0,0,"No",0,1,0,0,0,0,28,0,23,0,0,1,0,0,1,11,11,56,56,42.322359,-83.163724,"1","CL","Class 1","SMT-9 - CSX",50709,1000,51709,51709,"No"
"10",2020,"4",41,"Dawn","Cloudy","Main","1",8.9,"West",0,"Estimated",4,8400,"Signaled","Signal Indication",0,0,"No",0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,8,8,54,52,42.322359,-83.163724,"1","CL","Class 1","SMT-9 - CSX",0,0,51709,0,"No"
"07",2014,"15",101,"Day","Clear","Main","1",2.9,"North",9,"Recorded",9,18018,"Not Signaled","Direct Train Control",0,0,"No",0,2,0,0,0,1,126,0,0,0,0,1,0,1,1,1,1,15,15,40.377695,-96.917133,"1","CL","Class 1","SMT-6 - UP/KCS",4414,108747,113161,113161,"No"
"05",2020,"9",79,"Day","Cloudy","Yard","1",0.78,"South",7,"Recorded",7,3900,"Not Signaled","Other Than Main Track",0,0,"No",2,2,0,0,0,0,26,0,12,0,0,1,0,0,1,3,3,50,50,34.201914,-77.952005,"1","Cl","Class 3","SMT-2 - Short Line East",5855,22687,28542,28542,"No"
"10",2013,"4",50,"Dark","Clear","Yard","1",9,"West",4,"Estimated",4,1800,"Not Signaled","Other Than Main Track",0,0,"No",0,2,0,0,0,0,15,0,1,0,0,1,0,1,1,5,5,36,36,32.247902,-90.130135,"1","CL","Class 1","SMT-6 - UP/KCS",8479,0,12289,8479,"No"
"10",2018,"2",36,"Dark","Clear","Main","2",6.28,"South",25,"Estimated",25,8701,"Not Signaled","Direct Train Control",0,0,"No",0,2,0,0,0,0,72,0,1,0,0,1,0,0,1,5,5,45,45,46.158711,-85.322319,"2","No","Class 1","SMT-4 - CP/CN/CCD",16500,16274,32774,32774,"No"
